"run_id","scheduled_order","arm","status","parser_correct","adjudicated_correct","parser_status","reasoning_output_tokens","reasoning_tokens_is_516","input_tokens","cached_input_tokens","output_tokens","wall_ms","ttft_ms","tokens_per_second","final_text_sha256"
"run-0190-control",190,"control","completed",false,false,"resolved",516,true,11331,11136,769,20693,19247,37.16232542405644,"2fae113ffc06a8f64ca307f65fee3105dbeff6032f56aace9216332fe58d256f"
"run-0193-control",193,"control","completed",false,false,"resolved",516,true,11331,11136,723,20007,18408,36.13735192682561,"bdaeba645ad181fdb079acd84efd37f558637a3eec0a277eb3569cb33b545b10"
"run-0194-treatment",194,"treatment","completed",false,false,"resolved",516,true,11346,11136,878,21453,19759,40.92667692164266,"2d7d57a1d39da849124e3d64959b20c5e4327bd273ece2a70025cbc036df5c6e"
"run-0195-control",195,"control","completed",false,false,"resolved",516,true,11331,11136,726,19090,17549,38.030382399161866,"9ebbaf0440bdefc2c7effce87eaef4a8ad584805459ce9d50336ead3615b1654"
"run-0199-control",199,"control","completed",false,false,"resolved",516,true,11331,11136,698,17867,16421,39.06643532769911,"c3a9cc15a109f402f2d73478a04a216d14e091a9615b160f890df56396a672ab"
"run-0198-treatment",198,"treatment","completed",false,false,"resolved",516,true,11346,11136,725,19020,17484,38.11777076761304,"989b2be6ba44208fabe5c2bca72107d078169ccabb518a7df2b1ee05614c730a"
"run-0200-treatment",200,"treatment","completed",false,false,"resolved",516,true,11346,9088,786,20748,19374,37.883169462116825,"f7b5356d5421ddea8b120011d96649c0508105394413c76e2d712fea1f5eaf3c"
"run-0197-control",197,"control","completed",false,false,"resolved",516,true,11331,9088,740,23242,21827,31.838912313914463,"cf900df93278e1229c050a2368efb3083a44cb4f26784a897450924e4f310ede"
"run-0196-treatment",196,"treatment","completed",true,true,"resolved",3624,false,11346,11136,3782,72079,71778,52.47020630141928,"4597291905f47f163a8071b5463006bfcbb484be03946c445b0b0c81b1b45ac0"
"run-0191-control",191,"control","completed",true,true,"resolved",8286,false,11331,11136,8484,246213,245569,34.45796931924797,"3cd48c015a430b170856ad2b1f488502a0a19ae2c23b4d6db526ef7f9da5ba35"
